Microsoft (R) COFF/PE Dumper Version 11.00.50727.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    55635475 time date stamp Mon May 25 12:57:25 2015
        0.00 version
           1 ordinal base
        1994 number of functions
        1986 number of names

    ordinal hint RVA      name

        129   78 000E53B0 LdrInitShimEngineDynamic
        130   79 0002B780 LdrInitializeThunk
        131   7A 000463A0 LdrLoadAlternateResourceModule
        132   7B 00028320 LdrLoadAlternateResourceModuleEx
        133   7C 00026F30 LdrLoadDll
        134   7D 0002AD80 LdrLockLoaderLock
        135   7E 000E23A0 LdrOpenImageFileOptionsKey
        136   7F 0004A590 LdrProcessInitializationComplete
        137   80 000A6CA0 LdrProcessRelocationBlock
        138   81 00048420 LdrQueryImageFileExecutionOptions
        139   82 00048450 LdrQueryImageFileExecutionOptionsEx
        140   83 0003EDE0 LdrQueryImageFileKeyOption
        141   84 000BFC90 LdrQueryModuleServiceTags
        142   85 000B3110 LdrQueryProcessModuleInformation
        143   86 000D9030 LdrRegisterDllNotification
        144   87 0002F540 LdrRemoveLoadAsDataTable
        145   88 000FA210 LdrResFindResource
        146   89 00039830 LdrResFindResourceDirectory
        147   8A 000302B0 LdrResGetRCConfig
        148   8B 000EE050 LdrResRelease
        149   8C 0002D250 LdrResSearchResource
        150   8D 00028230 LdrRscIsTypeExist
        151   8E 000435B0 LdrSetAppCompatDllRedirectionCallback
        152   8F 00041CF0 LdrSetDllManifestProber
        153   90 000E23B0 LdrSetMUICacheType
        154   91 000238E0 LdrShutdownProcess
        155   92 000437A0 LdrShutdownThread
        156   93 00136AA0 LdrSystemDllInitBlock
        157   94 0002F530 LdrUnloadAlternateResourceModule
        158   95 0002F3E0 LdrUnloadAlternateResourceModuleEx
        159   96 00023260 LdrUnloadDll
        160   97 0002AE40 LdrUnlockLoaderLock
        161   98 000C6E00 LdrUnregisterDllNotification
        162   99 000CF2B0 LdrVerifyImageMatchesChecksum
        163   9A 000CEEF0 LdrVerifyImageMatchesChecksumEx
        164   9B 0002CDE0 LdrpResGetMappingSize
        165   9C 0002CF50 LdrpResGetResourceDirectory
        166   9D 00086E60 MD4Final
        167   9E 00086750 MD4Init
        168   9F 00086D00 MD4Update
        169   A0 00087870 MD5Final
        170   A1 00086F30 MD5Init
        171   A2 00087700 MD5Update
        172   A3 0012E29A NlsAnsiCodePage
        173   A4 0012E28B NlsMbCodePageTag
        174   A5 0012E28C NlsMbOemCodePageTag
        175   A6 0004E1E0 NtAcceptConnectPort
        176   A7 0004E1F0 NtAccessCheck
        177   A8 0004DE40 NtAccessCheckAndAuditAlarm
        178   A9 0004E200 NtAccessCheckByType
        179   AA 0004E140 NtAccessCheckByTypeAndAuditAlarm
        180   AB 0004E210 NtAccessCheckByTypeResultList
        181   AC 0004E220 NtAccessCheckByTypeResultListAndAuditAlarm
        182   AD 0004E230 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        183   AE 0004E020 NtAddAtom
        184   AF 0004E240 NtAddBootEntry
        185   B0 0004E250 NtAddDriverEntry
        186   B1 0004E260 NtAdjustGroupsToken
        187   B2 0004DFC0 NtAdjustPrivilegesToken
        188   B3 0004E270 NtAlertResumeThread
        189   B4 0004E280 NtAlertThread
        190   B5 0004E290 NtAllocateLocallyUniqueId
        191   B6 0004E2A0 NtAllocateReserveObject
        192   B7 0004E2B0 NtAllocateUserPhysicalPages
        193   B8 0004E2C0 NtAllocateUuids
        194   B9 0004DD30 NtAllocateVirtualMemory
        195   BA 0004E2D0 NtAlpcAcceptConnectPort
        196   BB 0004E2E0 NtAlpcCancelMessage
        197   BC 0004E2F0 NtAlpcConnectPort
        198   BD 0004E300 NtAlpcCreatePort
        199   BE 0004E310 NtAlpcCreatePortSection
        200   BF 0004E320 NtAlpcCreateResourceReserve
        201   C0 0004E330 NtAlpcCreateSectionView
        202   C1 0004E340 NtAlpcCreateSecurityContext
        203   C2 0004E350 NtAlpcDeletePortSection
        204   C3 0004E360 NtAlpcDeleteResourceReserve
        205   C4 0004E370 NtAlpcDeleteSectionView
        206   C5 0004E380 NtAlpcDeleteSecurityContext
        207   C6 0004E390 NtAlpcDisconnectPort
        208   C7 0004E3A0 NtAlpcImpersonateClientOfPort
        209   C8 0004E3B0 NtAlpcOpenSenderProcess
        210   C9 0004E3C0 NtAlpcOpenSenderThread
        211   CA 0004E3D0 NtAlpcQueryInformation
        212   CB 0004E3E0 NtAlpcQueryInformationMessage
        213   CC 0004E3F0 NtAlpcRevokeSecurityContext
        214   CD 0004E400 NtAlpcSendWaitReceivePort
        215   CE 0004E410 NtAlpcSetInformation
        216   CF 0004E070 NtApphelpCacheControl
        217   D0 0004E420 NtAreMappedFilesTheSame
        218   D1 0004E430 NtAssignProcessToJobObject
        219   D2 0004DC00 NtCallbackReturn
        220   D3 0004E180 NtCancelIoFile
        221   D4 0004E440 NtCancelIoFileEx
        222   D5 0004E450 NtCancelSynchronousIoFile
        223   D6 0004E1C0 NtCancelTimer
        224   D7 0004DF90 NtClearEvent
        225   D8 0004DCA0 NtClose
        226   D9 0004DF60 NtCloseObjectAuditAlarm
        227   DA 0004E460 NtCommitComplete
        228   DB 0004E470 NtCommitEnlistment
        229   DC 0004E480 NtCommitTransaction
        230   DD 0004E490 NtCompactKeys
        231   DE 0004E4A0 NtCompareTokens
        232   DF 0004E4B0 NtCompleteConnectPort
        233   E0 0004E4C0 NtCompressKey
        234   E1 0004E4D0 NtConnectPort
        235   E2 0004DFE0 NtContinue
        236   E3 0004E4E0 NtCreateDebugObject
        237   E4 0004E4F0 NtCreateDirectoryObject
        238   E5 0004E500 NtCreateEnlistment
        239   E6 0004E030 NtCreateEvent
        240   E7 0004E510 NtCreateEventPair
        241   E8 0004E100 NtCreateFile
        242   E9 0004E520 NtCreateIoCompletion
        243   EA 0004E530 NtCreateJobObject
        244   EB 0004E540 NtCreateJobSet
        245   EC 0004DD80 NtCreateKey
        246   ED 0004E550 NtCreateKeyTransacted
        247   EE 0004E560 NtCreateKeyedEvent
        248   EF 0004E570 NtCreateMailslotFile
        249   F0 0004E580 NtCreateMutant
        250   F1 0004E590 NtCreateNamedPipeFile
        251   F2 0004E5A0 NtCreatePagingFile
        252   F3 0004E5B0 NtCreatePort
        253   F4 0004E5C0 NtCreatePrivateNamespace
        254   F5 0004E5D0 NtCreateProcess
        255   F6 0004E080 NtCreateProcessEx
        256   F7 0004E5E0 NtCreateProfile
        257   F8 0004E5F0 NtCreateProfileEx
        258   F9 0004E600 NtCreateResourceManager
        259   FA 0004E050 NtCreateSection
        260   FB 0004E610 NtCreateSemaphore
        261   FC 0004E620 NtCreateSymbolicLinkObject
        262   FD 0004E090 NtCreateThread
        263   FE 0004E630 NtCreateThreadEx
        264   FF 0004E640 NtCreateTimer
        265  100 0004E650 NtCreateToken
        266  101 0004E660 NtCreateTransaction
        267  102 0004E670 NtCreateTransactionManager
        268  103 0004E680 NtCreateUserProcess
        269  104 0004E690 NtCreateWaitablePort
        270  105 0004E6A0 NtCreateWorkerFactory
        271  106 0004E6B0 NtDebugActiveProcess
        272  107 0004E6C0 NtDebugContinue
        273  108 0004DEF0 NtDelayExecution
        274  109 0004E6D0 NtDeleteAtom
        275  10A 0004E6E0 NtDeleteBootEntry
        276  10B 0004E6F0 NtDeleteDriverEntry
        277  10C 0004E700 NtDeleteFile
        278  10D 0004E710 NtDeleteKey
        279  10E 0004E720 NtDeleteObjectAuditAlarm
        280  10F 0004E730 NtDeletePrivateNamespace
        281  110 0004E740 NtDeleteValueKey
        282  111 0004DC20 NtDeviceIoControlFile
        283  112 0004E750 NtDisableLastKnownGood
        284  113 0004E760 NtDisplayString
        285  114 0004E770 NtDrawText
        286  115 0004DF70 NtDuplicateObject
        287  116 0004DFD0 NtDuplicateToken
        288  117 0004E780 NtEnableLastKnownGood
        289  118 0004E790 NtEnumerateBootEntries
        290  119 0004E7A0 NtEnumerateDriverEntries
        291  11A 0004DED0 NtEnumerateKey
        292  11B 0004E7B0 NtEnumerateSystemEnvironmentValuesEx
        293  11C 0004E7C0 NtEnumerateTransactionObject
        294  11D 0004DCE0 NtEnumerateValueKey
        295  11E 0004E7D0 NtExtendSection
        296  11F 0004E7E0 NtFilterToken
        297  120 0004DCF0 NtFindAtom
        298  121 0004E060 NtFlushBuffersFile
        299  122 0004E7F0 NtFlushInstallUILanguage
        300  123 0004E800 NtFlushInstructionCache
        301  124 0004E810 NtFlushKey
        302  125 0004E820 NtFlushProcessWriteBuffers
        303  126 0004E830 NtFlushVirtualMemory
        304  127 0004E840 NtFlushWriteBuffer
        305  128 0004E850 NtFreeUserPhysicalPages
        306  129 0004DD90 NtFreeVirtualMemory
        307  12A 0004E860 NtFreezeRegistry
        308  12B 0004E870 NtFreezeTransactions
        309  12C 0004DF40 NtFsControlFile
        310  12D 0004E880 NtGetContextThread
        311  12E 0004E890 NtGetCurrentProcessorNumber
        312  12F 0004E8A0 NtGetDevicePowerState
        313  130 0004E8B0 NtGetMUIRegistryInfo
        314  131 0004E8C0 NtGetNextProcess
        315  132 0004E8D0 NtGetNextThread
        316  133 0004E8E0 NtGetNlsSectionPtr
        317  134 0004E8F0 NtGetNotificationResourceManager
        318  135 0004E900 NtGetPlugPlayEvent
        319  136 000B0340 NtGetTickCount
        320  137 0004E910 NtGetWriteWatch
        321  138 0004E920 NtImpersonateAnonymousToken
        322  139 0004DDA0 NtImpersonateClientOfPort
        323  13A 0004E930 NtImpersonateThread
        324  13B 0004E940 NtInitializeNlsFiles
        325  13C 0004E950 NtInitializeRegistry
        326  13D 0004E960 NtInitiatePowerAction
        327  13E 0004E0A0 NtIsProcessInJob
        328  13F 0004E970 NtIsSystemResumeAutomatic
        329  140 0004E980 NtIsUILanguageComitted
        330  141 0004E990 NtListenPort
        331  142 0004E9A0 NtLoadDriver
        332  143 0004E9B0 NtLoadKey
        333  144 0004E9C0 NtLoadKey2
        334  145 0004E9D0 NtLoadKeyEx
        335  146 0004E9E0 NtLockFile
        336  147 0004E9F0 NtLockProductActivationKeys
        337  148 0004EA00 NtLockRegistryKey
        338  149 0004EA10 NtLockVirtualMemory
        339  14A 0004EA20 NtMakePermanentObject
        340  14B 0004EA30 NtMakeTemporaryObject
        341  14C 0004EA40 NtMapCMFModule
        342  14D 0004EA50 NtMapUserPhysicalPages
        343  14E 0004DBE0 NtMapUserPhysicalPagesScatter
        344  14F 0004DE30 NtMapViewOfSection
        345  150 0004EA60 NtModifyBootEntry
        346  151 0004EA70 NtModifyDriverEntry
        347  152 0004EA80 NtNotifyChangeDirectoryFile
        348  153 0004EA90 NtNotifyChangeKey
        349  154 0004EAA0 NtNotifyChangeMultipleKeys
        350  155 0004EAB0 NtNotifyChangeSession
        351  156 0004E130 NtOpenDirectoryObject
        352  157 0004EAC0 NtOpenEnlistment
        353  158 0004DFB0 NtOpenEvent
        354  159 0004EAD0 NtOpenEventPair
        355  15A 0004DEE0 NtOpenFile
        356  15B 0004EAE0 NtOpenIoCompletion
        357  15C 0004EAF0 NtOpenJobObject
        358  15D 0004DCD0 NtOpenKey
        359  15E 0004EB00 NtOpenKeyEx
        360  15F 0004EB10 NtOpenKeyTransacted
        361  160 0004EB20 NtOpenKeyTransactedEx
        362  161 0004EB30 NtOpenKeyedEvent
        363  162 0004EB40 NtOpenMutant
        364  163 0004EB50 NtOpenObjectAuditAlarm
        365  164 0004EB60 NtOpenPrivateNamespace
        366  165 0004DE10 NtOpenProcess
        367  166 0004EB70 NtOpenProcessToken
        368  167 0004DEB0 NtOpenProcessTokenEx
        369  168 0004EB80 NtOpenResourceManager
        370  169 0004DF20 NtOpenSection
        371  16A 0004EB90 NtOpenSemaphore
        372  16B 0004EBA0 NtOpenSession
        373  16C 0004EBB0 NtOpenSymbolicLinkObject
        374  16D 0004EBC0 NtOpenThread
        375  16E 0004DDF0 NtOpenThreadToken
        376  16F 0004DEA0 NtOpenThreadTokenEx
        377  170 0004EBD0 NtOpenTimer
        378  171 0004EBE0 NtOpenTransaction
        379  172 0004EBF0 NtOpenTransactionManager
        380  173 0004EC00 NtPlugPlayControl
        381  174 0004E1A0 NtPowerInformation
        382  175 0004EC10 NtPrePrepareComplete
        383  176 0004EC20 NtPrePrepareEnlistment
        384  177 0004EC30 NtPrepareComplete
        385  178 0004EC40 NtPrepareEnlistment
        386  179 0004EC50 NtPrivilegeCheck
        387  17A 0004EC60 NtPrivilegeObjectAuditAlarm
        388  17B 0004EC70 NtPrivilegedServiceAuditAlarm
        389  17C 0004EC80 NtPropagationComplete
        390  17D 0004EC90 NtPropagationFailed
        391  17E 0004E0B0 NtProtectVirtualMemory
        392  17F 0004ECA0 NtPulseEvent
        393  180 0004DF80 NtQueryAttributesFile
        394  181 0004ECB0 NtQueryBootEntryOrder
        395  182 0004ECC0 NtQueryBootOptions
        396  183 0004ECD0 NtQueryDebugFilterState
        397  184 0004DD00 NtQueryDefaultLocale
